QTD;ID_PLANO_CONTA;PLANO_CONTA;TOTAL_MES;ANO;MES;CODIGOSELO;IDCARTORIO;COMARCA
1;6;Assessoria Contábil;5030;2024;02;G7;78;19
1;6;Assessoria Contábil;5030;2024;11;G7;78;19
1;6;Assessoria Contábil;5030;2024;04;G7;78;19
1;6;Assessoria Contábil;5030;2024;12;G7;78;19
1;6;Assessoria Contábil;5030;2024;09;G7;78;19
1;6;Assessoria Contábil;5030;2025;01;G7;78;19
3;6;Assessoria Contábil;5015.73;2024;12;L4;158;13
3;6;Assessoria Contábil;4960;2024;03;A0;1;1
2;6;Assessoria Contábil;4912;2024;10;G2;106;17
5;6;Assessoria Contábil;4883.51;2025;08;L4;158;13
1;6;Assessoria Contábil;4700;2024;01;G7;78;19
3;6;Assessoria Contábil;4610.28;2024;11;L4;158;13
2;6;Assessoria Contábil;4554;2025;09;A0;1;1
3;6;Assessoria Contábil;4554;2025;12;A4;4;17
2;6;Assessoria Contábil;4554;2025;07;B6;22;4
1;6;Assessoria Contábil;4554;2025;12;B6;22;4
3;6;Assessoria Contábil;4554;2025;12;K3;149;1
1;6;Assessoria Contábil;4554;2025;12;K4;150;4
1;6;Assessoria Contábil;4395;2025;05;K2;146;1
3;6;Assessoria Contábil;4236;2024;12;A4;4;17
2;6;Assessoria Contábil;4236;2024;07;B6;22;4
1;6;Assessoria Contábil;4236;2024;12;B6;22;4
3;6;Assessoria Contábil;4236;2024;12;K3;149;1
1;6;Assessoria Contábil;4236;2024;12;K4;150;4
2;6;Assessoria Contábil;4236;2025;02;A0;1;1
2;6;Assessoria Contábil;4166;2025;03;A8;11;1
2;6;Assessoria Contábil;3989;2025;06;A0;1;1
1;6;Assessoria Contábil;3984.75;2025;12;K7;153;19
2;6;Assessoria Contábil;3960;2024;01;K6;152;19
2;6;Assessoria Contábil;3952;2024;11;J9;144;12
2;6;Assessoria Contábil;3840;2025;12;D7;80;11
1;6;Assessoria Contábil;3810;2024;04;K2;146;1
1;6;Assessoria Contábil;3806;2025;09;B5;20;4
1;6;Assessoria Contábil;3806;2025;03;B5;20;4
1;6;Assessoria Contábil;3806;2025;06;B5;20;4
1;6;Assessoria Contábil;3806;2025;05;B5;20;4
1;6;Assessoria Contábil;3806;2025;10;B5;20;4
1;6;Assessoria Contábil;3806;2025;12;B5;20;4
1;6;Assessoria Contábil;3806;2025;04;B5;20;4
1;6;Assessoria Contábil;3806;2025;11;B5;20;4
1;6;Assessoria Contábil;3806;2025;02;B5;20;4
1;6;Assessoria Contábil;3806;2025;08;B5;20;4
1;6;Assessoria Contábil;3806;2025;07;B5;20;4
1;6;Assessoria Contábil;3795;2025;02;K2;146;1
1;6;Assessoria Contábil;3795;2025;07;K2;146;1
1;6;Assessoria Contábil;3795;2025;08;K2;146;1
1;6;Assessoria Contábil;3795;2025;03;K2;146;1
1;6;Assessoria Contábil;3795;2025;04;K2;146;1
1;6;Assessoria Contábil;3795;2025;09;K2;146;1
1;6;Assessoria Contábil;3795;2025;11;K2;146;1
1;6;Assessoria Contábil;3795;2025;10;K2;146;1
1;6;Assessoria Contábil;3795;2025;06;K2;146;1
2;6;Assessoria Contábil;3780;2025;12;B1;62;1
2;6;Assessoria Contábil;3725;2025;08;J1;148;22
2;6;Assessoria Contábil;3725;2025;07;J1;148;22
1;6;Assessoria Contábil;3706.5;2024;12;K7;153;19
9;6;Assessoria Contábil;3655.32;2024;09;B4;64;1
1;6;Assessoria Contábil;3600;2024;02;B5;20;4
2;6;Assessoria Contábil;3600;2024;12;D7;80;11
1;6;Assessoria Contábil;3540;2024;01;B5;20;4
1;6;Assessoria Contábil;3540;2024;06;B5;20;4
1;6;Assessoria Contábil;3540;2024;11;B5;20;4
1;6;Assessoria Contábil;3540;2024;07;B5;20;4
1;6;Assessoria Contábil;3540;2024;04;B5;20;4
1;6;Assessoria Contábil;3540;2024;12;B5;20;4
1;6;Assessoria Contábil;3540;2024;10;B5;20;4
1;6;Assessoria Contábil;3540;2024;03;B5;20;4
1;6;Assessoria Contábil;3540;2024;05;B5;20;4
1;6;Assessoria Contábil;3540;2024;08;B5;20;4
1;6;Assessoria Contábil;3540;2024;09;B5;20;4
1;6;Assessoria Contábil;3540;2025;01;B5;20;4
1;6;Assessoria Contábil;3530;2024;06;K2;146;1
1;6;Assessoria Contábil;3530;2024;10;K2;146;1
1;6;Assessoria Contábil;3530;2024;08;K2;146;1
1;6;Assessoria Contábil;3530;2024;09;K2;146;1
1;6;Assessoria Contábil;3530;2024;07;K2;146;1
1;6;Assessoria Contábil;3530;2024;05;K2;146;1
1;6;Assessoria Contábil;3530;2024;03;K2;146;1
1;6;Assessoria Contábil;3530;2024;02;K2;146;1
1;6;Assessoria Contábil;3530;2024;11;K2;146;1
1;6;Assessoria Contábil;3530;2025;01;K2;146;1
1;6;Assessoria Contábil;3484;2025;08;A8;11;1
3;6;Assessoria Contábil;3470.5;2025;11;K5;151;4
2;6;Assessoria Contábil;3450;2024;11;I2;129;16
4;6;Assessoria Contábil;3424;2024;12;A9;10;1
2;6;Assessoria Contábil;3398.9;2024;10;I7;43;1
2;6;Assessoria Contábil;3386;2025;08;K5;151;4
3;6;Assessoria Contábil;3378.24;2024;02;L4;158;13
1;6;Assessoria Contábil;3336;2025;04;A1;6;1
3;6;Assessoria Contábil;3324;2024;08;K5;151;4
1;6;Assessoria Contábil;3300;2024;05;I3;130;16
1;6;Assessoria Contábil;3300;2024;02;I3;130;16
1;6;Assessoria Contábil;3300;2024;04;I3;130;16
1;6;Assessoria Contábil;3300;2024;03;I3;130;16
1;6;Assessoria Contábil;3300;2024;01;K2;146;1
2;6;Assessoria Contábil;3286;2025;10;K5;151;4
2;6;Assessoria Contábil;3286;2025;02;K5;151;4
2;6;Assessoria Contábil;3286;2025;07;K5;151;4
2;6;Assessoria Contábil;3286;2025;05;K5;151;4
2;6;Assessoria Contábil;3286;2025;09;K5;151;4
2;6;Assessoria Contábil;3286;2025;06;K5;151;4
2;6;Assessoria Contábil;3286;2025;04;K5;151;4
2;6;Assessoria Contábil;3286;2025;03;K5;151;4
4;6;Assessoria Contábil;3220;2024;01;H9;118;13
2;6;Assessoria Contábil;3210;2024;05;H6;45;6
2;6;Assessoria Contábil;3202;2025;07;L0;155;5
2;6;Assessoria Contábil;3130;2025;12;D6;79;11
2;6;Assessoria Contábil;3074;2024;02;K5;151;4
2;6;Assessoria Contábil;3074;2024;06;K5;151;4
2;6;Assessoria Contábil;3074;2024;10;K5;151;4
2;6;Assessoria Contábil;3074;2024;05;K5;151;4
2;6;Assessoria Contábil;3074;2024;03;K5;151;4
2;6;Assessoria Contábil;3074;2024;09;K5;151;4
2;6;Assessoria Contábil;3074;2024;04;K5;151;4
2;6;Assessoria Contábil;3074;2025;01;K5;151;4
2;6;Assessoria Contábil;3038;2025;12;L0;155;5
3;6;Assessoria Contábil;3038;2025;02;L0;155;5
1;6;Assessoria Contábil;3036;2025;07;A1;6;1
1;6;Assessoria Contábil;3036;2025;08;A1;6;1
1;6;Assessoria Contábil;3036;2025;09;A1;6;1
1;6;Assessoria Contábil;3036;2025;05;A1;6;1
1;6;Assessoria Contábil;3036;2025;11;A1;6;1
1;6;Assessoria Contábil;3036;2025;12;A1;6;1
1;6;Assessoria Contábil;3036;2025;10;A1;6;1
1;6;Assessoria Contábil;3036;2025;03;A1;6;1
1;6;Assessoria Contábil;3036;2025;06;A1;6;1
2;6;Assessoria Contábil;3036;2025;10;A3;60;1
2;6;Assessoria Contábil;3036;2025;09;A4;4;17
2;6;Assessoria Contábil;3036;2025;12;A9;10;1
1;6;Assessoria Contábil;3036;2025;11;B6;22;4
1;6;Assessoria Contábil;3036;2025;05;B6;22;4
1;6;Assessoria Contábil;3036;2025;02;B6;22;4
1;6;Assessoria Contábil;3036;2025;04;B6;22;4
1;6;Assessoria Contábil;3036;2025;06;B6;22;4
1;6;Assessoria Contábil;3036;2025;10;B6;22;4
1;6;Assessoria Contábil;3036;2025;09;B6;22;4
1;6;Assessoria Contábil;3036;2025;03;B6;22;4
1;6;Assessoria Contábil;3036;2025;08;B6;22;4
2;6;Assessoria Contábil;3036;2025;06;F2;94;14
2;6;Assessoria Contábil;3036;2025;09;F8;102;15
1;6;Assessoria Contábil;3036;2025;03;G2;106;17
2;6;Assessoria Contábil;3036;2025;12;I3;130;16
2;6;Assessoria Contábil;3036;2025;09;K3;149;1
2;6;Assessoria Contábil;3036;2025;12;K6;152;19
2;6;Assessoria Contábil;3036;2025;12;L1;156;12
2;6;Assessoria Contábil;3020;2024;10;D6;79;11
1;6;Assessoria Contábil;3000;2024;03;D3;75;10
1;6;Assessoria Contábil;3000;2024;10;D3;75;10
1;6;Assessoria Contábil;3000;2024;02;D3;75;10
1;6;Assessoria Contábil;3000;2024;06;D3;75;10
1;6;Assessoria Contábil;3000;2024;09;D3;75;10
1;6;Assessoria Contábil;3000;2024;05;D3;75;10
1;6;Assessoria Contábil;3000;2024;08;D3;75;10
1;6;Assessoria Contábil;3000;2024;01;D3;75;10
1;6;Assessoria Contábil;3000;2024;11;D3;75;10
1;6;Assessoria Contábil;3000;2024;07;D3;75;10
2;6;Assessoria Contábil;3000;2024;06;I4;128;16
1;6;Assessoria Contábil;3000;2025;07;D3;75;10
1;6;Assessoria Contábil;3000;2025;12;D3;75;10
1;6;Assessoria Contábil;3000;2025;11;D3;75;10
1;6;Assessoria Contábil;3000;2025;08;D3;75;10
1;6;Assessoria Contábil;3000;2025;11;G8;110;19
2;6;Assessoria Contábil;3000;2025;07;I4;128;16
1;6;Assessoria Contábil;2969;2024;05;B6;22;4
1;6;Assessoria Contábil;2956.5;2025;07;K7;153;19
2;6;Assessoria Contábil;2952;2024;07;L0;155;5
2;6;Assessoria Contábil;2930;2025;02;A3;60;1
1;6;Assessoria Contábil;2900;2024;01;G8;110;19
2;6;Assessoria Contábil;2890;2024;01;K5;151;4
1;6;Assessoria Contábil;2874;2024;11;B6;22;4
2;6;Assessoria Contábil;2824.01;2024;12;L1;156;12
1;6;Assessoria Contábil;2824;2024;02;A1;6;1
1;6;Assessoria Contábil;2824;2024;07;A1;6;1
1;6;Assessoria Contábil;2824;2024;10;A1;6;1
1;6;Assessoria Contábil;2824;2024;09;A1;6;1
2;6;Assessoria Contábil;2824;2024;07;A4;4;17
1;6;Assessoria Contábil;2824;2024;03;B6;22;4
1;6;Assessoria Contábil;2824;2024;06;B6;22;4
1;6;Assessoria Contábil;2824;2024;09;B6;22;4
1;6;Assessoria Contábil;2824;2024;08;B6;22;4
1;6;Assessoria Contábil;2824;2024;02;B6;22;4
1;6;Assessoria Contábil;2824;2024;04;B6;22;4
1;6;Assessoria Contábil;2824;2024;10;B6;22;4
2;6;Assessoria Contábil;2824;2024;12;I3;130;16
2;6;Assessoria Contábil;2824;2024;04;K3;149;1
2;6;Assessoria Contábil;2824;2024;07;K3;149;1
1;6;Assessoria Contábil;2824;2024;11;K5;151;4
1;6;Assessoria Contábil;2824;2024;07;K5;151;4
1;6;Assessoria Contábil;2824;2024;12;K6;152;19
1;6;Assessoria Contábil;2824;2025;01;A1;6;1
1;6;Assessoria Contábil;2824;2025;01;B6;22;4
2;6;Assessoria Contábil;2816.23;2024;12;L0;155;5
1;6;Assessoria Contábil;2765;2025;12;A8;11;1
2;6;Assessoria Contábil;2732;2024;01;K3;149;1
1;6;Assessoria Contábil;2701.5;2025;10;K7;153;19
5;6;Assessoria Contábil;2700;2024;06;L7;160;20
1;6;Assessoria Contábil;2696.5;2025;09;K7;153;19
